PubMedID,Title,Publication Date,Authors,Affiliations,Corresponding Author Email
40062826,"Acceptance, perceptions, and compliance for COVID-19 vaccines among students attending a rural university: An interventional study using brief video messages.",2025-Mar-10,Amber L Harris Bozer; Subi Gandhi; Dustin C Edwards,"Department of Neuroscience, Tarleton State University, Stephenville, Texas, USA.; Department of Medical Lab Sciences, Public Health, and Nutrition Sciences, Tarleton State University, Stephenville, Texas, USA.; Department of Biological Sciences, Tarleton State University, Stephenville, Texas, USA.",N/A
40062404,The Compensatory Effect of S375F on S371F Is Vital for Maintaining the Infectivity of SARS-CoV-2 Omicron Variants.,2025-Mar,Shuo Liu; Pan Liu; Qiong Lu; Yanru Shen; Li Zhang; Ziteng Liang; Yuanling Yu; Weijin Huang; Youchun Wang,"Changping Laboratory, Beijing, China.; CAS Key Laboratory of Infection and Immunity, National Laboratory of Macromolecules, Institute of Biophysics, Chinese Academy of Sciences, Beijing, China.; Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, Institute for Biological Product Control, National Institutes for Food and Drug Control (NIFDC), Beijing, China.; Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, Institute for Biological Product Control, National Institutes for Food and Drug Control (NIFDC), Beijing, China.; Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, Institute for Biological Product Control, National Institutes for Food and Drug Control (NIFDC), Beijing, China.; Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.; Changping Laboratory, Beijing, China.; Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, Institute for Biological Product Control, National Institutes for Food and Drug Control (NIFDC), Beijing, China.; Changping Laboratory, Beijing, China.",N/A
40062398,Ionizable lipid nanoparticles enhance lung delivery of gold nanoclusters for improving acute lung injury alleviation.,2025-Mar-10,Yongning Bian; Yanggege Li; Dongfang Xia; Yuanyu Huang; Xueyun Gao; Dongdong Su; Qing Yuan,"Center of Excellence for Environmental Safety and Biological Effects, Department of Chemistry, Beijing University of Technology, Beijing 100124, P. R. China. chmsudd@bjut.edu.cn.; Center of Excellence for Environmental Safety and Biological Effects, Department of Chemistry, Beijing University of Technology, Beijing 100124, P. R. China. chmsudd@bjut.edu.cn.; Center of Excellence for Environmental Safety and Biological Effects, Department of Chemistry, Beijing University of Technology, Beijing 100124, P. R. China. chmsudd@bjut.edu.cn.; School of Life Science, Advanced Research Institute of Multidisciplinary Science, Beijing Institute of Technology, Beijing 100081, P. R. China.; Center of Excellence for Environmental Safety and Biological Effects, Department of Chemistry, Beijing University of Technology, Beijing 100124, P. R. China. chmsudd@bjut.edu.cn.; Center of Excellence for Environmental Safety and Biological Effects, Department of Chemistry, Beijing University of Technology, Beijing 100124, P. R. China. chmsudd@bjut.edu.cn.; Center of Excellence for Environmental Safety and Biological Effects, Department of Chemistry, Beijing University of Technology, Beijing 100124, P. R. China. chmsudd@bjut.edu.cn.",chmsudd@bjut.edu.cn
40062079,Cardiac Complications Associated With COVID-19 Vaccination: A Systematic Review of Cohort Studies.,2025-Feb,Indrajit Banerjee; Jared Robinson; Indraneel Banerjee,"Pharmacology, Sir Seewoosagur Ramgoolam Medical College, Belle Rive, MUS.; Surgery, Sir Seewoosagur Ramgoolam Medical College, Belle Rive, MUS.; Urology, Penn Highlands Healthcare, Pennsylvania, USA.",N/A
40061468,"Assessment of serum biomarker changes following the COVID-19 pandemic and vaccination: a cohort study in Sylhet, Bangladesh.",2025,Shangida Akther; Fairoz Samiha; Sabrina Amita Sony; Mohammad Anamul Haque; Mohammad Abul Hasnat; S M Saiful Islam; Shamim Ahmed; Mohammad Abdullah-Al-Shoeb,"Department of Biochemistry and Molecular Biology, School of Life Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh.; Department of Biochemistry and Molecular Biology, School of Life Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh.; Department of Biochemistry and Molecular Biology, School of Life Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh.; Department of Statistics, School of Physical Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh.; Department of Biochemistry and Molecular Biology, School of Life Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh.; Department of Chemistry, School of Physical Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh.; Department of Biochemistry and Molecular Biology, School of Life Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh.; Department of Biochemistry and Molecular Biology, School of Life Sciences, Shahjalal University of Science and Technology, Sylhet, Bangladesh.",N/A
40061305,Impact of Receiving Coronavirus Disease 2019 (COVID-19) Vaccination on Work Stress of Healthcare Workers: A Cross-Sectional Study.,2025-Mar-01,Chun-Kai Wen; Pei-Hsuan Yang; Hsin-Liang Liu; I-Jeng Yeh; Che-Yu Su,"Kaohsiung Medical University Hospital Department of Emergency Medicine Kaohsiung Medical University, Kaohsiung Taiwan.; Kaohsiung Medical University Hospital Department of Emergency Medicine Kaohsiung Medical University, Kaohsiung Taiwan.; Kaohsiung Medical University Hospital Department of Emergency Medicine Kaohsiung Medical University, Kaohsiung Taiwan.; Kaohsiung Medical University Hospital Department of Emergency Medicine Kaohsiung Medical University, Kaohsiung Taiwan.; Kaohsiung Medical University Hospital Department of Emergency Medicine Kaohsiung Medical University, Kaohsiung Taiwan.",N/A
40061285,Risk stratification for future cardiac arrest after COVID-19 vaccination.,2025-Feb-26,Peter A McCullough; Nicolas Hulscher,"Department of Cardiology, McCullough Foundation, Dallas, TX 75206, United States.; Department of Epidemiology, McCullough Foundation, Dallas, TX 75206, United States. nichulscher@gmail.com.",nichulscher@gmail.com
40060444,Preclinical evaluation of the efficacy of α-Difluoromethylornithine and Sulindac against SARS-CoV-2 infection.,2025-Feb-28,Natalia A Ignatenko; Hien Trinh; April M Wagner; Eugene W Gerner; Christian Bime; Chiu-Hsieh Hsu; David G Besselsen,,N/A
40060306,Severity of respiratory syncytial virus versus SARS-CoV-2 Omicron and influenza infection amongst hospitalized Singaporean adults: a national cohort study.,2025-Feb,Liang En Wee; Jue Tao Lim; Reen Wan Li Ho; Calvin J Chiew; Barnaby Young; Indumathi Venkatachalam; Jean Xiang Ying Sim; Hau Yiang Cheong; Tong Yong Ng; Chee-Fu Yung; David Chien Boon Lye; Kelvin Bryan Tan,"National Centre for Infectious Diseases, Singapore.; National Centre for Infectious Diseases, Singapore.; National Centre for Infectious Diseases, Singapore.; National Centre for Infectious Diseases, Singapore.; National Centre for Infectious Diseases, Singapore.; Department of Infectious Diseases, Singapore General Hospital, Singapore.; Department of Infectious Diseases, Singapore General Hospital, Singapore.; Department of Infectious Diseases, Changi General Hospital, Singapore.; Department of Pathology, Sengkang General Hospital, Singapore.; Duke-NUS Graduate Medical School, National University of Singapore, Singapore.; National Centre for Infectious Diseases, Singapore.; National Centre for Infectious Diseases, Singapore.",N/A
40060063,Antibody Response to Covishield and Covaxin in Kidney Transplant Recipients.,2025,Neha Manhas; Shyam Bihari Bansal; Amit Kumar Mahapatra; Abhyudaysingh Rana; Sidharth Kumar Sethi; Manish Jain; Dinesh Kumar Yadav,"Department of Nephrology and Kidney Transplantation, Medanta Institute of Kidney and Urology, Medanta-The Medicity, Gurugram, Haryana, India.; Department of Nephrology and Kidney Transplantation, Medanta Institute of Kidney and Urology, Medanta-The Medicity, Gurugram, Haryana, India.; Department of Nephrology and Kidney Transplantation, Medanta Institute of Kidney and Urology, Medanta-The Medicity, Gurugram, Haryana, India.; Department of Nephrology and Kidney Transplantation, Medanta Institute of Kidney and Urology, Medanta-The Medicity, Gurugram, Haryana, India.; Department of Nephrology and Kidney Transplantation, Medanta Institute of Kidney and Urology, Medanta-The Medicity, Gurugram, Haryana, India.; Department of Nephrology and Kidney Transplantation, Medanta Institute of Kidney and Urology, Medanta-The Medicity, Gurugram, Haryana, India.; Department of Nephrology and Kidney Transplantation, Medanta Institute of Kidney and Urology, Medanta-The Medicity, Gurugram, Haryana, India.",N/A
